Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,Woningdichtheid
Nijmegen,2019,827200.0,785300.0,233532.0,1521.0
Nissewaard,2019,314800.0,314800.0,114482.0,531.0
Noardeast-Fryslân,2019,230100.0,229200.0,73788.0,54.0
Noord-Beveland,2019,61200.0,55300.0,13663.0,51.0
Noordenveld,2019,265600.0,265600.0,57155.0,74.0
Noordoostpolder,2019,,,69580.0,44.0
Noordwijk,2019,,,66084.0,337.0
Nuenen c.a.,2019,104100.0,96800.0,41168.0,302.0
Nunspeet,2019,204300.0,151200.0,41579.0,84.0
Oegstgeest,2019,85400.0,69100.0,36323.0,1463.0
Oirschot,2019,187400.0,112100.0,32347.0,77.0
Oisterwijk,2019,170300.0,130000.0,55167.0,181.0
Oldambt,2019,450900.0,415200.0,71617.0,81.0
Oldebroek,2019,152300.0,100000.0,35983.0,95.0
Oldenzaal,2019,136800.0,125500.0,49109.0,670.0
Olst-Wijhe,2019,102600.0,102600.0,28814.0,67.0
Ommen,2019,249900.0,236400.0,29623.0,41.0
Oost Gelre,2019,177900.0,177900.0,48177.0,117.0
Oosterhout,2019,,,82526.0,351.0
Ooststellingwerf,2019,143100.0,140700.0,43788.0,51.0
Oostzaan,2019,57200.0,33900.0,14549.0,356.0
Opmeer,2019,53900.0,53900.0,17230.0,115.0
Opsterland,2019,189800.0,143100.0,49809.0,58.0
Oss,2019,560400.0,518000.0,144664.0,245.0
Oude IJsselstreek,2019,211500.0,205300.0,65066.0,128.0
Ouder-Amstel,2019,185100.0,92600.0,20782.0,256.0
Oudewater,2019,40500.0,40500.0,15750.0,112.0
Overbetuwe,2019,382400.0,244100.0,72460.0,180.0
Papendrecht,2019,,,42539.0,1528.0
Peel en Maas,2019,525000.0,466800.0,73652.0,115.0
Pekela,2019,86600.0,82500.0,23370.0,118.0
Pijnacker-Nootdorp,2019,412700.0,412500.0,64149.0,570.0
Purmerend,2019,198300.0,187800.0,92753.0,1561.0
Putten,2019,161300.0,120300.0,37903.0,113.0
Raalte,2019,203100.0,203000.0,58728.0,92.0
Reimerswaal,2019,538100.0,458300.0,30205.0,90.0
Renkum,2019,,,57039.0,324.0
Renswoude,2019,35000.0,25800.0,7722.0,110.0
Reusel-De Mierden,2019,61500.0,61500.0,22418.0,70.0
Rheden,2019,186200.0,169100.0,76059.0,259.0
Rhenen,2019,93000.0,93000.0,30085.0,193.0
Ridderkerk,2019,277000.0,188700.0,62181.0,891.0
Rijssen-Holten,2019,243600.0,171300.0,57004.0,157.0
Rijswijk,2019,230400.0,199700.0,78449.0,1910.0
Roerdalen,2019,115200.0,95600.0,38183.0,107.0
Roermond,2019,652800.0,605800.0,90950.0,452.0
Roosendaal,2019,450500.0,369900.0,118309.0,330.0
Rotterdam,2019,12146900.0,11764500.0,787135.0,1432.0
Rozendaal,2019,7500.0,7500.0,3811.0,24.0
Rucphen,2019,129400.0,98400.0,41399.0,150.0
Schagen,2019,276900.0,276900.0,71041.0,121.0
Scherpenzeel,2019,51200.0,51200.0,14636.0,288.0
Schiedam,2019,305800.0,240400.0,100679.0,2071.0
Schiermonnikoog,2019,10200.0,10200.0,2197.0,14.0
Schouwen-Duiveland,2019,253700.0,248700.0,58483.0,73.0
's-Hertogenbosch,2019,854900.0,685900.0,226721.0,655.0
Simpelveld,2019,37200.0,37200.0,19780.0,332.0
Sint Anthonis,2019,71200.0,71200.0,20363.0,48.0
Sint-Michielsgestel,2019,113100.0,112700.0,50115.0,207.0
Sittard-Geleen,2019,,,158361.0,588.0
Sliedrecht,2019,126500.0,95300.0,32503.0,858.0
Sluis,2019,162100.0,154300.0,46111.0,51.0
Smallingerland,2019,313800.0,248600.0,86389.0,219.0
Soest,2019,197100.0,183800.0,75555.0,445.0
Someren,2019,230900.0,207900.0,32261.0,100.0
Son en Breugel,2019,167500.0,141600.0,29627.0,274.0
Stadskanaal,2019,132400.0,127200.0,59054.0,130.0
Staphorst,2019,171900.0,102200.0,25416.0,44.0
Stede Broec,2019,86600.0,86600.0,31043.0,635.0
Steenbergen,2019,634200.0,599600.0,37521.0,71.0
Steenwijkerland,2019,237000.0,208500.0,73116.0,69.0
Stein,2019,,,43511.0,558.0
Stichtse Vecht,2019,449900.0,288600.0,98577.0,294.0
Súdwest-Fryslân,2019,568600.0,490700.0,141885.0,80.0
Terneuzen,2019,,,86986.0,108.0
Terschelling,2019,41800.0,41800.0,8921.0,27.0
Texel,2019,,,23746.0,41.0
Teylingen,2019,168500.0,146000.0,50849.0,549.0
Tholen,2019,180300.0,177100.0,36080.0,74.0
Tiel,2019,298500.0,241100.0,59883.0,548.0
Tilburg,2019,1146300.0,1022300.0,287203.0,852.0
Tubbergen,2019,111800.0,111800.0,36885.0,58.0
Twenterand,2019,159500.0,150000.0,51728.0,129.0
Tynaarlo,2019,169400.0,137700.0,60243.0,101.0
Tytsjerksteradiel,2019,223800.0,215100.0,51269.0,94.0
Uden,2019,257500.0,232100.0,66469.0,279.0
Uitgeest,2019,74500.0,49000.0,18654.0,294.0
Uithoorn,2019,,,41702.0,709.0
Urk,2019,86400.0,86400.0,24401.0,492.0
Utrecht,2019,1527300.0,1244500.0,395855.0,1640.0
Utrechtse Heuvelrug,2019,311000.0,206700.0,86560.0,164.0
Vaals,2019,40600.0,40600.0,19425.0,241.0
Valkenburg aan de Geul,2019,93200.0,78700.0,31700.0,226.0
Valkenswaard,2019,144600.0,135800.0,52365.0,267.0
Veendam,2019,,,49444.0,169.0
Veenendaal,2019,253400.0,241800.0,85348.0,1428.0
Veere,2019,117100.0,114000.0,37539.0,83.0
Veldhoven,2019,271700.0,249000.0,70747.0,622.0
Velsen,2019,,,96643.0,684.0
Venlo,2019,875000.0,741200.0,162696.0,380.0
Venray,2019,371900.0,328500.0,71148.0,116.0
