Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,co2_gasgebruik,co2_elek,co2_gebouwde_omg
Amstelveen,2018,402400,362900,139496,147360,140770,249764
Amsterdam,2018,4443500,4156600,1099416,1369890,1959972,2894091
Apeldoorn,2018,1120100,846900,260475,346955,329793,512553
Arnhem,2018,898600,714500,228490,241865,277035,466072
Assen,2018,328000,282800,107213,115556,99115,195408
Asten,2018,255300,206200,29079,127338,51306,49629
Baarle-Nassau,2018,65400,65400,12869,20976,32488,21753
Baarn,2018,144600,108000,45622,47185,32341,74270
Barendrecht,2018,276100,198500,64834,57536,88875,121814
Barneveld,2018,460400,325900,87881,112285,134050,179011
Beek,2018,128800,89100,30272,36478,35822,56177
Beekdaelen,2018,189500,163000,72366,,52412,
Beemster,2018,130400,78400,16555,,24560,24560
Beesel,2018,92700,72700,23500,29317,29878,35061
Berg en Dal,2018,185600,185600,60260,,46564,92903
Bergeijk,2018,110900,110900,35187,38199,41175,56573
Bergen (L.),2018,124900,124600,24442,55263,32990,37750
Bergen (NH.),2018,148700,148700,62725,63968,44059,95906
Bergen op Zoom,2018,,,102796,,324339,185901
Berkelland,2018,308200,308200,78442,127076,104183,117372
Bernheze,2018,215200,151400,53877,50899,55293,76872
Best,2018,224800,165800,48203,50634,86448,101744
Beuningen,2018,212900,138100,42037,50090,44341,63313
Beverwijk,2018,,,60916,,58721,109682
Bladel,2018,143300,122200,34876,42924,52128,60173
Blaricum,2018,65700,47400,25715,22049,17173,36506
Bloemendaal,2018,111000,109800,50572,50316,36396,84542
Bodegraven-Reeuwijk,2018,288900,155000,53859,56574,66367,93146
Boekel,2018,66500,66500,18238,33256,23088,26819
Borger-Odoorn,2018,134200,132400,53480,57988,36262,75243
Borne,2018,111900,76100,37319,32649,26530,52767
Borsele,2018,,,34997,,240469,66585
Boxmeer,2018,289500,217400,49692,85415,86654,81748
Boxtel,2018,249400,168300,53751,63001,74842,
Breda,2018,1060200,821000,277894,292727,335196,535616
Brielle,2018,171800,167400,27793,103076,38408,42444
Bronckhorst,2018,293300,293300,70928,143047,73905,99245
Brummen,2018,389000,386000,36817,266420,82940,57142
Brunssum,2018,117300,116700,51419,,42449,
Bunnik,2018,126200,85600,25153,29042,31684,49144
Bunschoten,2018,144300,144000,32808,61805,59349,56696
Buren,2018,146600,139300,47717,43656,42033,69516
Capelle aan den IJssel,2018,225500,213500,90426,,88360,
Castricum,2018,144700,120200,59479,54159,36838,84135
Coevorden,2018,315900,273100,66481,111420,111703,112706
Cranendonck,2018,,,38768,57025,,59931
Cuijk,2018,256100,205200,41100,71819,99314,72422
Culemborg,2018,135400,105800,38951,38562,48320,78920
Dalfsen,2018,164700,162200,49333,54435,49424,70766
Dantumadiel,2018,74500,71900,32189,,19088,
De Bilt,2018,256700,199700,81148,86638,67384,132953
De Fryske Marren,2018,434500,345600,87356,,114731,
De Ronde Venen,2018,293300,225000,72168,81919,71228,113670
De Wolden,2018,205100,147400,46595,47285,60765,64531
Delft,2018,548800,495200,136428,198802,230744,298750
Den Haag,2018,1939500,1822100,763931,689923,794825,1449938
Den Helder,2018,304100,304000,89894,,131974,
Deurne,2018,218100,185300,57554,73685,65642,88857
Deventer,2018,580500,478100,146314,181190,201455,
Diemen,2018,162500,120300,40264,31525,61181,81980
Dinkelland,2018,172600,161900,51874,64241,49152,78241
Doesburg,2018,51800,51800,18004,16462,22980,26090
Doetinchem,2018,351100,316300,90199,128397,131510,165412
Dongen,2018,279000,277800,42063,161309,95469,63044
Dordrecht,2018,679800,574300,173586,177933,253481,316725
Drechterland,2018,110700,110500,32694,45179,36158,43277
Drimmelen,2018,211100,179900,46122,93462,49688,65136
Dronten,2018,281000,253400,59066,65250,88193,108235
Druten,2018,123900,112400,30738,38844,32784,45723
Duiven,2018,139900,102200,34738,19963,45991,61775
Echt-Susteren,2018,253000,175000,60823,,58072,91096
Edam-Volendam,2018,165900,158800,63279,61464,63787,97839
Ede,2018,694300,530000,175571,192354,215427,326350
Eemnes,2018,97700,38100,15219,,11970,23434
Eemsdelta,2018,,,87143,,632826,132139
Eersel,2018,142800,103400,35016,36666,38836,55063
Eijsden-Margraten,2018,,,49734,,49533,71273
Eindhoven,2018,,,358050,421040,556422,
Elburg,2018,131500,100400,35959,40258,35162,58871
Emmen,2018,743400,709000,194254,371493,227003,308674
Enkhuizen,2018,117900,117900,28760,45852,55370,50066
Enschede,2018,747600,709000,248137,257463,301172,445343
Epe,2018,237600,183500,61226,74811,68525,95489
Ermelo,2018,204000,180500,42185,86051,61716,83084
Etten-Leur,2018,412900,366800,68399,188757,143569,117999
Geertruidenberg,2018,217900,161800,33898,36406,103792,59820
Geldrop-Mierlo,2018,224400,176300,66774,69989,,100696
Gemert-Bakel,2018,173400,173400,53163,61350,66601,77856
Gennep,2018,141200,133500,30043,36676,68147,54545
Gilze en Rijen,2018,181200,138300,41952,48022,60678,80077
Goeree-Overflakkee,2018,325500,294700,79013,95129,84469,141865
Goes,2018,248000,192400,58047,79920,74594,120605
Goirle,2018,91100,82600,39530,34244,32703,57272
Gooise Meren,2018,383700,237300,109532,107236,80345,172001
Gorinchem,2018,,,49972,,87464,95253
Gouda,2018,302100,301800,98121,142005,114133,176206
Grave,2018,52300,52300,21369,19997,16043,33143
Groningen,2018,,,358827,579990,394848,714195
Gulpen-Wittem,2018,81700,81700,28236,32246,24462,43913
Haaksbergen,2018,139200,139200,42444,44143,58396,63459
Haarlem,2018,603200,600600,236729,247086,245462,
Haarlemmermeer,2018,1844500,1420800,219576,327593,825242,948941
Halderberge,2018,180900,160500,52587,61871,61169,80971
Hardenberg,2018,393600,361000,101076,114982,153438,208861
Harderwijk,2018,262800,213500,64428,85877,80168,124861
Hardinxveld-Giessendam,2018,126300,72000,25200,24950,26327,37761
Harlingen,2018,,,24965,,36511,45517
Hattem,2018,110000,59900,20700,,22164,31398
Heemskerk,2018,138800,121600,56913,53981,44381,79682
Heemstede,2018,103300,103300,51809,,35535,73433
Heerde,2018,125800,88500,32673,38273,30733,48368
Heerenveen,2018,402100,326700,83810,,125922,
Heerhugowaard,2018,299500,299500,74142,136608,89083,124331
Heerlen,2018,519300,448900,152978,174398,198897,283014
Heeze-Leende,2018,114400,77600,30491,28871,27520,46635
Heiloo,2018,95300,78200,40727,35613,27688,60806
Hellendoorn,2018,223800,223800,60567,82685,91594,93025
Hellevoetsluis,2018,182300,172500,59492,,62934,84014
Helmond,2018,541700,541300,135865,194545,239546,235380
Hendrik-Ido-Ambacht,2018,114700,91000,40386,36278,33335,57459
Hengelo,2018,695000,635400,135912,398582,166432,237954
Het Hogeland,2018,666500,662500,90585,,341617,
Heumen,2018,100400,75200,28774,25291,20940,41156
Heusden,2018,328700,282600,74347,152642,88008,104128
Hillegom,2018,92700,92700,32600,35933,40470,55304
Hilvarenbeek,2018,90800,84600,28387,27698,30645,46518
Hilversum,2018,396200,365900,152827,155982,141218,280070
Hoeksche Waard,2018,552400,474000,135284,152331,140933,202660
Hof van Twente,2018,228600,227900,64733,,71731,97971
Hollands Kroon,2018,1286800,1222800,81005,,593133,
Hoogeveen,2018,414900,331300,92743,164785,119833,154534
Hoorn,2018,268500,264300,105497,105047,105850,181061
Horst aan de Maas,2018,497900,451200,76290,245762,134006,134040
Houten,2018,225500,196500,63675,67735,67917,109970
Huizen,2018,154500,142900,68181,65051,48158,97181
Hulst,2018,213300,213300,49445,50979,41812,74395
IJsselstein,2018,116400,113700,46944,42885,42658,69562
Kaag en Braassem,2018,224000,162300,42213,74915,46150,61444
Kampen,2018,357400,331200,77346,169597,92188,128117
Kapelle,2018,,,18730,,26175,31838
Katwijk,2018,268000,265400,86282,115867,107689,
Kerkrade,2018,277200,274100,85518,120717,119014,134004
Koggenland,2018,192200,147800,35836,69273,42526,49399
Krimpen aan den IJssel,2018,92500,92500,42832,,35536,63013
Krimpenerwaard,2018,267400,267400,86674,81560,78711,129236
Laarbeek,2018,209500,209500,39204,107138,57495,58114
Landerd,2018,117100,89700,27507,27725,26725,44000
Landgraaf,2018,138600,135800,67355,62982,49416,96883
Landsmeer,2018,,,19054,,12082,25076
Langedijk,2018,115800,115800,41334,47409,38581,60172
Lansingerland,2018,816100,795100,83267,,205070,147666
Laren,2018,93200,58200,28759,28289,20371,45860
Leeuwarden,2018,702800,650700,192157,283761,214940,362924
Leiden,2018,527600,474400,166320,153620,216071,347206
Leiderdorp,2018,118900,91400,39571,34470,33975,68517
Leidschendam-Voorburg,2018,318000,250600,118646,110071,85385,
Lelystad,2018,598700,452700,108460,135090,152435,207275
Leudal,2018,279000,233700,68313,84373,77358,106056
Leusden,2018,148300,121200,46657,43723,40867,77333
Lingewaard,2018,314700,311900,75060,165602,64160,107217
Lisse,2018,88800,88400,33095,33325,35601,57273
Lochem,2018,262900,253200,65760,106094,79762,98220
Loon op Zand,2018,116900,97800,40470,37451,42557,72946
Lopik,2018,94400,94400,22883,22263,23727,32568
Losser,2018,128200,111400,41433,43739,35451,59432
Maasdriel,2018,265000,218300,43463,84542,71298,68409
Maasgouw,2018,177500,137900,46551,57805,51891,69162
Maassluis,2018,92600,92500,46146,,31371,63029
Maastricht,2018,,,199435,,342992,400278
Medemblik,2018,444600,410700,72019,245964,111689,119492
Meerssen,2018,98300,75900,37462,35055,26380,49458
Meierijstad,2018,730500,654300,136094,273845,263094,234756
Meppel,2018,261700,222200,54332,91971,93391,104777
Middelburg,2018,261700,239900,71813,124877,80844,125530
Midden-Delfland,2018,347500,285200,27128,,80701,42912
Midden-Drenthe,2018,342500,270900,61344,,75441,104028
Midden-Groningen,2018,,,111675,,309980,161604
Mill en Sint Hubert,2018,65100,65100,20464,25579,21424,30494
Moerdijk,2018,,,62941,,486088,156710
Molenlanden,2018,304400,274500,67041,72343,87682,101963
Montferland,2018,197200,183800,62048,79115,64168,93529
Montfoort,2018,63600,63600,21992,20912,21504,34009
Mook en Middelaar,2018,35100,35100,16050,15206,10447,20887
Neder-Betuwe,2018,282300,196800,36441,58622,59319,67448
Nederweert,2018,107000,107000,32238,34758,41806,48918
Nieuwegein,2018,363800,284900,84373,57270,131962,180120
Nieuwkoop,2018,168400,168400,43510,81769,49622,65611
Nijkerk,2018,267700,236300,62722,87638,102260,117928
Nijmegen,2018,882600,840500,246541,296081,348157,518739
Nissewaard,2018,287200,287200,123054,100479,110545,185711
Noardeast-Fryslân,2018,244700,243700,77725,90272,81742,114615
Noord-Beveland,2018,63500,57500,14576,16887,19803,28795
