Jaar,Gemeenten,Woningdichtheid
2018,Gemert-Bakel,104.0
2019,Gemert-Bakel,104.0
2017,Gennep,154.0
2018,Gennep,155.0
2019,Gennep,156.0
2017,Giessenlanden,93.0
2018,Giessenlanden,93.0
2017,Gilze en Rijen,170.0
2018,Gilze en Rijen,171.0
2019,Gilze en Rijen,172.0
2017,Goeree-Overflakkee,81.0
2018,Goeree-Overflakkee,82.0
2019,Goeree-Overflakkee,83.0
2017,Goes,194.0
2018,Goes,195.0
2019,Goes,197.0
2017,Goirle,237.0
2018,Goirle,236.0
2019,Goirle,239.0
2017,Gooise Meren,631.0
2018,Gooise Meren,633.0
2019,Gooise Meren,637.0
2017,Gorinchem,864.0
2018,Gorinchem,871.0
2019,Gorinchem,882.0
2017,Gouda,1910.0
2018,Gouda,1985.0
2019,Gouda,2010.0
2017,Grave,195.0
2018,Grave,199.0
2019,Grave,200.0
2017,'s-Gravenhage (gemeente),3085.0
2018,'s-Gravenhage (gemeente),3113.0
2019,'s-Gravenhage (gemeente),3144.0
2017,Groningen (gemeente),1061.0
2018,Groningen (gemeente),1063.0
2019,Groningen (gemeente),618.0
2017,Grootegast,57.0
2018,Grootegast,58.0
2017,Gulpen-Wittem,93.0
2018,Gulpen-Wittem,93.0
2019,Gulpen-Wittem,93.0
2017,Haaksbergen,97.0
2018,Haaksbergen,98.0
2019,Haaksbergen,99.0
2017,Haaren,96.0
2018,Haaren,101.0
2019,Haaren,102.0
2017,Haarlem,2538.0
2018,Haarlem,2564.0
2019,Haarlem,2593.0
2017,Haarlemmerliede en Spaarnwoude,120.0
2018,Haarlemmerliede en Spaarnwoude,123.0
2017,Haarlemmermeer,337.0
2018,Haarlemmermeer,340.0
2019,Haarlemmermeer,322.0
2017,Halderberge,175.0
2018,Halderberge,176.0
2019,Halderberge,179.0
2017,Hardenberg,77.0
2018,Hardenberg,78.0
2019,Hardenberg,78.0
2017,Harderwijk,494.0
2018,Harderwijk,496.0
2019,Harderwijk,500.0
2017,Hardinxveld-Giessendam,426.0
2018,Hardinxveld-Giessendam,429.0
2019,Hardinxveld-Giessendam,433.0
2017,Haren,192.0
2018,Haren,197.0
2017,Harlingen,303.0
2018,Harlingen,305.0
